"page_number","urls"
21,"https://afdbundestag.de/bernd-schattner-bodenreform-war-zwangsenteignung-der-bauern-in-der-ehemaligen-ostzone/"
21,"https://afdbundestag.de/martin-sichert-bundesregierung-weiss-nicht-auf-welcher-datengrundlage-die-regulaere-zulassung-der-corona-impfungen-basiert/"
21,"https://afdbundestag.de/gottfried-curio-deutschland-schlafwandelt-in-die-naechste-migrationskrise/"
21,"https://afdbundestag.de/michael-kaufmann-nachlaessige-buchhaltung-in-obersten-bundesbehoerden-erschuetternd/"
21,"https://afdbundestag.de/juergen-braun-je-linker-desto-feindlicher-gegenueber-israel/"
21,"https://afdbundestag.de/ruediger-lucassen-pistorius-sabotiert-seine-eigene-beschaffungsreform-durch-pluenderung-der-bundeswehr/"
21,"https://afdbundestag.de/martin-sichert-sachverstaendige-begruessen-afd-antrag-zu-cross-over-lebendspenden/"
21,"https://afdbundestag.de/eugen-schmidt-diplomaten-ausweisung-entzweit-deutschland-und-russland-weiter/"
22,"https://afdbundestag.de/goetz-froemming-altparteien-haben-rekonstruktion-der-zerrissenen-stasi-unterlagen-verschleppt/"
22,"https://afdbundestag.de/uwe-schulz-verkauf-von-viessmann-ist-das-resultat-ideologischer-planwirtschaft/"
22,"https://afdbundestag.de/alice-weidel-steuerlast-und-staatsausgaben-muessen-deutlich-sinken/"
22,"https://afdbundestag.de/thomas-seitz-fahrerflucht-muss-auch-bei-sachschaeden-strafbar-bleiben/"
22,"https://afdbundestag.de/die-kulturpolitischen-sprecher-der-afd-fraktionen-fordern-keine-oeko-ideologische-transformation-der-kultur-durch-green-culture/"
22,"https://afdbundestag.de/beatrix-von-storch-die-afd-bundestagsfraktion-gratuliert-israel-zum-75-geburtstag/"
22,"https://afdbundestag.de/thomas-dietz-drohende-medikamenten-engpaesse-abwenden/"
22,"https://afdbundestag.de/jan-wenzel-schmidt-verbliebene-kernkraftwerke-erhalten/"
23,"https://afdbundestag.de/sebastian-muenzenmaier-afd-tourismuspolitiker-aus-bund-und-laendern-verabschieden-gemeinsame-resolution/"
23,"https://afdbundestag.de/gerrit-huy-immer-mehr-menschen-ueber-65-armutsgefaehrdet/"
23,"https://afdbundestag.de/martin-sichert-afd-fraktion-fordert-gesundheitliche-beeintraechtigungen-durch-windenergieanlagen-zu-erforschen/"
23,"https://afdbundestag.de/jan-wenzel-schmidt-antifa-brutalitaet-laut-bundesregierung-aeusserst-besorgniserregend/"
23,"https://afdbundestag.de/goetz-froemming-auftragsvergabe-fuer-buergerraete-ist-schlag-ins-gesicht-der-demokratie/"
23,"https://afdbundestag.de/ulrike-schielke-ziesing-rentenkonzept-der-cdu-dreist-und-weltfremd/"
23,"https://afdbundestag.de/stefan-keuter-altkanzlerin-merkel-hat-gelogen/"
23,"https://afdbundestag.de/kay-gottschalk-steuer-und-abgabequoten-senken-um-mittelschicht-unter-die-arme-zu-greifen/"
24,"https://afdbundestag.de/leif-erik-holm-keine-entscheidung-zum-lng-terminal-ueber-die-koepfe-der-buerger-hinweg/"
24,"https://afdbundestag.de/thomas-seitz-allein-die-afd-fraktion-fordert-parlamentarische-aufarbeitung-des-corona-unrechts/"
24,"https://afdbundestag.de/barbara-lenk-justizminister-buschmann-will-messenger-konten-sperren-lassen/"
24,"https://afdbundestag.de/alice-weidel-migrationspolitik-der-ampel-gefaehrdet-gesellschaftlichen-frieden/"
24,"https://afdbundestag.de/bernd-baumann-union-betreibt-mit-ihren-forderungen-zur-asylpolitik-waehlertaeuschung/"
24,"https://afdbundestag.de/albrecht-glaser-unionsparteien-und-regierungsfraktionen-liebaeugeln-mit-verlaengerung-der-wahlperiode-von-vier-auf-fuenf-jahre/"
24,"https://afdbundestag.de/alice-weidel-tino-chrupalla-habecks-heizungsverbot-muss-komplett-vom-tisch/"
24,"https://afdbundestag.de/juergen-braun-eu-will-deutsche-verbraucherrechte-einschraenken/"
25,"https://afdbundestag.de/rene-springer-erschreckender-berufsbildungsbericht-einwanderung-verschaerft-probleme/"
25,"https://afdbundestag.de/dirk-brandes-schienenstrecke-hamburg-hannover-ampel-verhindert-oeffentlichkeitsbeteiligung/"
25,"https://afdbundestag.de/karsten-hilse-geplante-sanierungspflicht-der-eu-verletzt-subsidiaritaetsprinzip/"
25,"https://afdbundestag.de/edgar-naujok-bundesregierung-darf-kuenstlicher-intelligenz-nicht-mit-neuem-netzdg-begegnen/"
25,"https://afdbundestag.de/uwe-schulz-industrieemissionsrichtlinie-nicht-auf-landwirtschaft-ausweiten/"
25,"https://afdbundestag.de/kay-gottschalk-cdu-steuerkonzept-in-weiten-teilen-von-afd-fraktion-abgeschrieben/"
25,"https://afdbundestag.de/stephan-protschka-landwirtschaftliche-betriebsergebnisse-sind-erschreckend/"
25,"https://afdbundestag.de/stephan-brandner-scheinheilig-bundesregierung-gibt-keine-auskunft-zu-linienfluegen-und-zugfahrten/"
26,"https://afdbundestag.de/petr-bystron-journalistische-standrads-einhalten/"
26,"https://afdbundestag.de/steffen-kotre-parlamentarische-mehrheit-nutzen-um-energieversorgung-sicherzustellen/"
26,"https://afdbundestag.de/rene-springer-keine-kampfjets-fuer-die-ukraine-vetorecht-fuers-parlament/"
26,"https://afdbundestag.de/rene-springer-wer-arbeitet-darf-am-ende-nicht-der-dumme-sein/"
26,"https://afdbundestag.de/martin-sichert-ampel-modell-zur-cannabis-legalisierung-ist-ein-schritt-in-die-voellig-falsche-richtung/"
26,"https://afdbundestag.de/karsten-hilse-sicherste-kernkraftwerke-der-welt-abzuschalten-ist-absurd/"
26,"https://afdbundestag.de/rene-springer-griechischer-ministerpraesident-bestaetigt-migranten-kommen-nach-deutschland-wegen-grosszuegiger-leistungen/"
26,"https://afdbundestag.de/kay-gottschalk-bundesregierung-sieht-deutsche-steuergelder-als-selbstbedienungsladen/"
27,"https://afdbundestag.de/juergen-braun-wokeness-mitverantwortlich-an-militaerterror-in-myanmar/"
27,"https://afdbundestag.de/petr-bystron-spd-und-gruene-degradieren-diplomaten-zu-polit-aktivisten/"
27,"https://afdbundestag.de/alice-weidel-abschaltung-der-kernkraftwerke-ist-ideologische-wahnsinnstat/"
27,"https://afdbundestag.de/petr-bystron-forderungen-nach-mehr-souveraenitaet-der-europaeer-sind-legitim/"
27,"https://afdbundestag.de/martin-e-renner-skandal-um-von-der-bundesregierung-bezahlte-journalisten-weitet-sich-aus/"
27,"https://afdbundestag.de/steffen-kotre-habecks-aussagen-zeigen-gruener-atomausstieg-ist-auf-luegen-aufgebaut/"
27,"https://afdbundestag.de/ruediger-lucassen-pistorius-muss-den-verteidigungshaushalt-besser-nutzen/"
27,"https://afdbundestag.de/kay-gottschalk-rueckzahlung-der-bankenabgabe-ist-falsches-signal/"
28,"https://afdbundestag.de/christina-baum-geschaedigte-der-corona-impfung-werden-im-stich-gelassen/"
28,"https://afdbundestag.de/alice-weidel-keine-afd-regierungsbeteiligung-ohne-ruecknahme-des-oel-und-gasheizungsverbots/"
28,"https://afdbundestag.de/barbara-lenk-nicht-twitter-sondern-antidemokratisches-netzdg-ist-das-problem/"
28,"https://afdbundestag.de/kay-gottschalk-verstrickungen-des-bundeskanzlers-im-fall-der-warburg-bank-und-cum-ex-lueckenlos-aufklaeren/"
28,"https://afdbundestag.de/dirk-brandes-vetternwirtschaft-statt-autobahnsanierung-im-verkehrsministerium/"
28,"https://afdbundestag.de/malte-kaufmann-dirk-spaniel-ampel-koalition-ignoriert-wirtschaftliche-folgen-ihrer-lkw-maut-erhoehung/"
